         138206233 function calls (137099009 primitive calls) in 2668.676 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      282    0.054    0.000    0.054    0.000 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\importing_modules.py:53(<listcomp>)
    30720    0.054    0.000    0.099    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\sputils.py:220(isshape)
       89    0.054    0.001    0.056    0.001 <frozen importlib._bootstrap_external>:914(get_data)
   270077    0.054    0.000    0.083    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\networkx\classes\reportviews.py:184(__iter__)
   108301    0.053    0.000    0.172    0.000 <__array_function__ internals>:2(can_cast)
     1536    0.052    0.000  108.934    0.071 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\cvxcore\python\cvxcore.py:1003(build_matrix)
   249692    0.052    0.000    0.052    0.000 {built-in method numpy.asarray}
    54147    0.051    0.000    0.051    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\tensorflow\python\framework\dtypes.py:179(__eq__)
   132096    0.051    0.000    0.051    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\compressed.py:108(getnnz)
      763    0.050    0.000    0.050    0.000 {built-in method nt.stat}
110334/660    0.049    0.000    1.115    0.002 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\ast.py:267(visit)
   779323    0.048    0.000    0.049    0.000 {method 'pop' of 'dict' objects}
        1    0.047    0.047    0.047    0.047 {built-in method tensorflow.python._pywrap_tfe.TF_ListPhysicalDevices}
   312789    0.047    0.000    0.063    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\ast.py:181(iter_fields)
      768    0.046    0.000    1.308    0.002 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\reductions\solvers\qp_solvers\cplex_qpif.py:38(invert)
   152064    0.046    0.000    0.128    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\base.py:238(nnz)
    13978    0.046    0.000    0.108    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\lib\shape_base.py:512(expand_dims)
    13056    0.044    0.000    4.194    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\cvxcore\python\canonInterface.py:457(make_linC_from_linPy)
    27782    0.043    0.000    0.052    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\contextlib.py:81(__init__)
252906/252905    0.043    0.000    0.043    0.000 {built-in method builtins.setattr}
21444/20943    0.042    0.000    1.295    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\tensorflow\python\framework\ops.py:1562(convert_to_tensor)
23690/23688    0.042    0.000    0.134    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
      768    0.042    0.000    0.042    0.000 {built-in method cplex._internal.py37_cplex2010.CPXXopenCPLEX}
    20736    0.042    0.000    0.340    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\atoms\atom.py:41(__init__)
69568/57320    0.041    0.000   22.179    0.000 {built-in method builtins.next}
    78381    0.040    0.000    0.040    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\core\getlimits.py:525(min)
